TITLE	07-ar-30min
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/09/22
TIME	13:49:13
SPECTROMETER/DATA SYSTEM	
LOCALE	1031
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  600.0000
LASTX	  250.0000
NPOINTS	     351
FIRSTY	    -0.00045
MAXY	     2.42073
MINY	    -0.00045
XYDATA
600.0000	-0.0004543
599.0000	-0.000295164
598.0000	-0.00024812
597.0000	-0.000255793
596.0000	-0.000152746
595.0000	-0.000265635
594.0000	-0.000158676
593.0000	-0.000166589
592.0000	-7.48224E-005
591.0000	-0.000118909
590.0000	-0.000156105
589.0000	-0.00010606
588.0000	-0.000103413
587.0000	-0.000126498
586.0000	-0.000178803
585.0000	-0.000222366
584.0000	-7.53992E-005
583.0000	-4.72823E-005
582.0000	-1.22401E-005
581.0000	0.000150504
580.0000	0.000124621
579.0000	9.38151E-005
578.0000	2.79709E-005
577.0000	6.12665E-005
576.0000	0.000147345
575.0000	9.62841E-005
574.0000	8.03808E-005
573.0000	0.000151818
572.0000	0.000138826
571.0000	0.000191961
570.0000	0.00022712
569.0000	0.00020218
568.0000	0.00022844
567.0000	0.000319906
566.0000	0.000342978
565.0000	0.000305817
564.0000	0.000344903
563.0000	0.000407118
562.0000	0.000440058
561.0000	0.000283363
560.0000	0.00027013
559.0000	0.000374537
558.0000	0.000424871
557.0000	0.000379888
556.0000	0.000387526
555.0000	0.000500075
554.0000	0.000531456
553.0000	0.000469115
552.0000	0.000359719
551.0000	0.000414665
550.0000	0.000411684
549.0000	0.000389266
548.0000	0.00037602
547.0000	0.000425411
546.0000	0.000444821
545.0000	0.000531196
544.0000	0.000551279
543.0000	0.000549272
542.0000	0.000508326
541.0000	0.000605196
540.0000	0.000609151
539.0000	0.000771824
538.0000	0.000737662
537.0000	0.000880067
536.0000	0.000981084
535.0000	0.000974332
534.0000	0.00105509
533.0000	0.000995242
532.0000	0.00105955
531.0000	0.00103263
530.0000	0.0010776
529.0000	0.00112278
528.0000	0.00108679
527.0000	0.00103289
526.0000	0.00103082
525.0000	0.00110308
524.0000	0.00105805
523.0000	0.0011164
522.0000	0.00116719
521.0000	0.00121397
520.0000	0.000675469
519.0000	0.000828996
518.0000	0.00107164
517.0000	0.00131379
516.0000	0.00169711
515.0000	0.00208717
514.0000	0.00257463
513.0000	0.00335194
512.0000	0.00448244
511.0000	0.00593065
510.0000	0.00773095
509.0000	0.0101009
508.0000	0.0130446
507.0000	0.0170558
506.0000	0.0218707
505.0000	0.0279529
504.0000	0.0357066
503.0000	0.0450496
502.0000	0.0560038
501.0000	0.0687707
500.0000	0.0828796
499.0000	0.0980487
498.0000	0.113314
497.0000	0.127899
496.0000	0.140378
495.0000	0.149758
494.0000	0.154904
